District,City,Latitude,Longitude,Price,PriceMillionPerM2,Size,LandType,Width,Length,Legalty,Ward
313,31,20.844524,106.517166,590000000,7.195122,82.0,1,5.0,,1.0,11632
829,83,10.255596,106.34767,390000000,2.826087,138.0,4,5.0,28.0,1.0,28783
777,79,10.753711,106.61057,26000000000,130.0,200.0,1,10.0,20.0,2.0,27451
719,74,11.356915,106.61145,745000000,4.9666667,150.0,1,5.0,30.0,1.0,25816
275,1,20.9426,105.521,2200000000,9.4827585,232.0,1,,,1.0,9940
275,1,20.942709,105.52106,2200000000,12.154696,181.0,1,,,1.0,9940
276,1,20.990559,105.567955,4600000000,35.114502,131.0,1,,,1.0,10012
721,74,11.112711,106.670395,1900000000,23.75,80.0,1,5.0,18.0,1.0,25849
275,1,20.942709,105.52106,4400000000,24.043716,183.0,1,,,1.0,9940
275,1,20.9716,105.5532,2600000000,11.818182,220.0,1,,,1.0,9922
276,1,20.966543,105.48297,11000000000,8.627451,1275.0,1,,,1.0,4936
276,1,20.990559,105.567955,2100000000,26.25,80.0,1,,,1.0,10012
761,79,10.8937435,106.671455,3650000000,35.784313,102.0,1,8.6,12.5,1.0,26764
250,1,21.185003,105.72045,1700000000,38.636364,44.0,1,5.5999,7.0,1.0,8974
217,24,21.391205,106.311066,1555000000,7.81407,199.0,1,5.0,30.0,1.0,7387
761,79,10.8834305,106.670395,3950000000,27.054794,146.0,4,6.3,25.0,1.0,26764
490,48,16.079592,108.16313,5900000000,57.843136,102.0,1,5.0,20.0,1.0,20200
754,77,10.646611,107.11301,500000000,1.0,500.0,3,20.0,25.0,1.0,26725
721,74,11.134776,106.57019,480000000,2.4,200.0,1,5.0,40.0,1.0,25840
721,74,11.134776,106.57019,720000000,3.6,200.0,1,5.0,40.0,1.0,25840
720,74,11.280414,106.36354,480000000,2.4,200.0,1,5.0,40.0,1.0,25777
754,77,10.646611,107.11301,1900000000,2.683616,708.0,1,11.0,70.0,1.0,26725
720,74,11.284539,106.391685,850000000,1.0365853,820.0,1,,,1.0,25777
719,74,11.3777,106.6112,460000000,1.6140351,285.0,1,5.0,57.0,1.0,25816
725,74,10.914488,106.70692,24200000000,69.9422,346.0,1,7.0,,1.0,25966
17,1,21.153822,105.8349,12500000000,125.0,100.0,1,5.0,20.0,1.0,472
769,79,10.847686,106.7909,16800000000,56.0,300.0,1,15.0,20.0,1.0,26842
724,74,10.902923,106.79359,17000000000,39.351852,432.0,1,11.0,,1.0,25951
777,79,10.793634,106.590416,5499000000,30.55,180.0,1,9.0,20.0,1.0,27442
778,79,10.7409,106.7099,9700000000,134.72223,72.0,1,,,1.0,27481
762,79,10.8592415,106.74881,3800000000,60.31746,63.0,1,4.6999,14.0,1.0,26806
806,80,10.483747,106.63015,1600000000,14.285714,112.0,2,4.0,27.0,1.0,28150
806,80,10.586263,106.57903,1100000000,9.243697,119.0,2,4.0,28.0,1.0,28123
707,72,11.2601,106.2874,12000000000,0.9385265,12786.0,1,42.0,304.0,1.0,25579
761,79,10.8606,106.6918,6800000000,54.4,125.0,1,4.5,27.7999,1.0,26779
694,70,11.721706,106.6645,560000000,0.537428,1042.0,1,10.0,100.0,1.0,25330
718,74,10.991951,106.67655,3100000000,27.678572,112.0,1,5.0,23.0,1.0,25744
1,1,21.034534,105.82975,18000000000,114.64968,157.0,1,10.0,15.6999,1.0,22
783,79,11.060326,106.4347,1770000000,2.3412697,756.0,4,18.0,40.0,1.0,27505
801,80,10.810144,106.23784,390000000,0.39,1000.0,4,20.0,50.0,1.0,27916
801,80,10.962611,106.22279,15500000000,0.5,31000.0,3,120.0,300.0,1.0,27901
802,80,10.898329,106.49949,1200000000,6.857143,175.0,1,5.0,35.0,1.0,27964
802,80,10.870725,106.50538,1350000000,9.782609,138.0,1,5.0,28.0,1.0,27976
802,80,10.870725,106.50538,1450000000,11.6,125.0,1,5.0,25.0,1.0,27976
721,74,11.173189,106.6645,1250000000,15.625,80.0,1,5.0,16.0,1.0,25837
4,1,21.05286,105.92033,7800000000,97.5,80.0,1,5.0,,1.0,136
4,1,21.05286,105.92033,8100000000,90.0,90.0,1,,,1.0,136
